temp,humidity,door,co
10.62,95,1,308
10.38,87,1,313
9.07,91,1,330
10.4,90,1,493
11.59,81,1,341
10.18,86,1,452
11.24,95,1,490
9.38,88,1,451
8.87,81,1,317
8.39,81,1,351
9.52,95,1,305
10.11,91,1,307
10.85,88,1,491
10.69,88,1,318
9.97,95,1,361
9.14,81,1,342
9.98,93,1,371
10.93,81,1,412
9.57,81,1,366
10.8,89,1,438
9.36,80,1,348
9.59,84,1,472
11.87,93,1,499
9.46,85,1,499
9.79,83,1,360
9.57,84,1,409
10.74,94,1,382
8.46,82,1,476
11.81,82,1,345
10.76,83,1,399
11.61,83,1,377
10.86,94,1,324
9.32,91,1,500
9.29,89,1,409
10.64,92,1,450
10.17,90,1,452
11.89,84,1,443
10.23,91,1,386
11.24,85,1,313
9.31,85,1,474
9.47,80,1,370
8.78,91,1,457
11.26,89,1,353
8.92,80,1,372
10.5,87,1,338
10.45,84,1,365
9.42,91,1,407
8.98,90,1,377
8.95,87,1,412
9.08,85,1,423
9.77,91,1,422
9.97,87,1,337
10.72,87,1,395
9.89,88,1,459
9.12,87,1,452
9.0,86,1,431
10.63,94,1,413
10.22,93,1,318
8.57,80,1,311
11.17,85,1,319
11.9,94,1,377
10.81,88,1,369
8.15,93,1,403
8.28,87,1,359
10.79,91,1,348
9.57,85,1,423
10.33,82,1,319
8.27,88,1,404
10.13,81,1,378
8.51,85,1,438
8.44,90,1,421
11.16,88,1,363
9.59,90,1,444
10.63,84,1,381
9.76,95,1,434
9.36,82,1,457
8.27,92,1,344
8.29,85,1,325
10.17,95,1,347
9.72,86,1,492
10.89,91,1,356
8.67,89,1,494
11.27,92,1,432
11.55,91,1,367
8.31,86,1,301
8.97,91,1,435
9.75,90,1,327
11.83,87,1,453
9.99,94,1,375
11.16,83,1,435
11.59,93,1,405
8.76,87,1,359
11.89,81,1,311
11.75,83,1,462
9.64,84,1,436
10.59,89,1,416
10.25,90,1,466
8.06,81,1,317
10.36,80,1,469
10.13,93,1,425
8.02,81,1,382
11.58,87,1,359
8.85,83,1,383
11.97,91,1,310
10.32,94,1,452
8.67,90,1,349
11.54,82,1,367
11.84,87,1,307
11.11,82,1,402
8.95,93,1,366
10.93,88,1,465
9.05,90,1,310
11.95,84,1,418
8.84,89,1,317
11.51,93,1,367
10.89,92,1,467
11.87,80,1,464
8.96,93,1,347
11.72,83,1,473
10.21,81,1,467
8.64,93,1,400
10.53,83,1,320
8.29,84,1,373
11.42,83,1,452
8.56,80,1,479
8.61,93,1,368
9.59,89,1,347
10.55,80,1,397
9.53,88,1,437
9.05,87,1,335
9.36,91,1,398
8.45,88,1,423
10.32,80,1,316
9.71,95,1,402
11.86,91,1,402
9.67,94,1,384
9.89,91,1,367
11.42,82,1,474
11.51,95,1,387
9.59,84,1,301
8.17,95,1,471
8.49,88,1,462
9.12,91,1,300
10.16,91,1,337
11.52,95,1,412
11.22,92,1,313
9.78,85,1,300
8.57,89,1,300
10.1,92,1,361
11.37,95,1,448
10.2,84,1,477
10.08,88,1,342
8.53,92,1,419
11.2,93,1,330
9.68,88,1,436
8.8,80,1,416
8.58,88,1,398
10.35,89,1,349
10.93,87,1,421
9.39,81,1,342
8.63,88,1,400
10.93,84,1,359
11.73,94,1,390
9.58,90,1,468
9.86,88,1,365
10.93,86,1,329
9.04,82,1,490
10.22,95,1,404
8.16,81,1,348
8.99,84,1,465
11.89,91,1,408
11.49,93,1,388
10.04,87,1,363
8.03,94,1,432
9.48,84,1,479
8.85,93,1,437
8.12,86,1,409
9.88,81,1,383
9.03,83,1,343
9.68,91,1,462
8.08,89,1,497
8.61,94,1,463
8.33,81,1,416
8.88,91,1,426
11.24,88,1,339
9.72,90,1,462
9.53,84,1,377
9.21,87,1,451
11.54,86,1,383
8.26,90,1,486
10.26,92,1,362
8.11,87,1,436
8.81,92,1,469
8.53,83,1,486
11.12,83,1,323
8.16,81,1,375
9.91,88,1,453
9.56,81,1,337
10.46,92,1,478
10.38,91,1,365
9.38,86,1,344
11.33,95,1,472
10.18,83,1,331
8.51,90,1,483
11.58,90,1,492
9.64,86,1,362
10.91,80,1,435
9.85,95,1,434
8.64,87,1,437
10.65,84,1,344
9.54,92,1,403
8.21,85,1,335
9.27,84,1,404
9.7,86,1,476
11.01,82,1,326
11.95,80,1,320
9.65,91,1,367
10.89,83,1,492
11.93,89,1,352
11.36,95,1,438
8.84,91,1,494
11.39,89,1,385
9.6,83,1,481
10.19,84,1,322
10.81,88,1,455
10.19,93,1,352
8.28,92,1,334
12.0,81,1,474
10.34,92,1,343
11.9,88,1,366
10.34,87,1,336
8.77,89,1,496
9.3,94,1,329
8.98,90,1,442
11.62,93,1,330
11.46,91,1,471
10.86,85,1,403
10.57,91,1,396
8.97,89,1,461
10.63,94,1,357
10.17,84,1,455
11.83,87,1,310
9.01,94,1,385
11.13,86,1,409
8.4,91,1,461
11.35,93,1,339
8.51,91,1,400
10.6,90,1,437
10.36,85,1,493
10.94,92,1,453
9.46,91,1,323
8.37,87,1,370
11.42,89,1,498
11.59,93,1,447
8.26,86,1,369
8.61,95,1,422
11.59,92,1,492
10.17,85,1,408
9.53,88,1,481
10.54,83,1,461
9.6,81,1,415
9.13,88,1,420
10.38,84,1,411
10.39,84,1,361
11.73,87,1,447
10.85,84,1,305
11.4,88,1,431
10.81,89,1,402
8.69,80,1,461
10.69,92,1,353
9.33,82,1,474
9.29,95,1,365
10.98,92,1,473
9.56,92,1,419
10.68,86,1,342
11.58,91,1,368
9.05,94,1,314
10.82,89,1,364
11.26,83,1,472
9.79,92,1,443
8.71,90,1,316
11.08,84,1,487
9.57,81,1,486
9.49,93,1,427
9.32,93,1,440
10.48,80,1,444
9.52,85,1,348
11.53,85,1,326
8.65,81,1,465
10.52,81,1,431
11.25,82,1,375
8.41,82,1,325
9.51,90,1,458
9.24,95,1,440
11.23,89,1,354
9.92,80,1,391
8.28,87,1,452
9.57,81,1,348
11.64,91,1,363
10.37,85,1,414
11.17,83,1,399
11.75,80,1,421
9.37,92,1,352
11.73,94,1,428
8.63,95,1,301
8.64,90,1,457
9.94,83,1,381
10.92,84,1,460
11.83,80,1,448
8.24,94,1,437
8.68,82,1,386
11.18,87,1,498
9.38,81,1,363
9.46,95,1,381
8.95,90,1,488
11.35,89,1,419
10.92,83,1,383
10.65,95,1,431
8.6,87,1,475
10.37,84,1,478
10.28,94,1,332
9.53,84,1,450
10.53,90,1,336
11.92,80,1,354
11.05,80,1,396
8.69,82,1,475
11.12,92,1,424
10.22,94,1,356
8.6,95,1,451
8.63,89,1,413
11.52,94,1,377
9.58,87,1,452
10.73,90,1,471
8.43,95,1,409
8.03,87,1,493
11.83,95,1,444
9.22,81,1,470
10.64,93,1,312
11.68,86,1,444
10.04,91,1,315
9.07,84,1,305
11.71,88,1,327
11.56,95,1,364
9.35,91,1,357
11.13,86,1,379
10.88,93,1,338
10.67,81,1,340
9.72,92,1,308
10.75,85,1,444
8.65,87,1,324
11.66,82,1,395
11.58,80,1,328
9.74,94,1,334
11.04,85,1,341
8.6,92,1,314
10.53,91,1,449
8.5,83,1,344
8.96,81,1,492
10.73,82,1,424
9.39,89,1,334
10.94,83,1,382
8.45,83,1,313
10.59,85,1,470
9.28,94,1,432
8.05,86,1,321
10.84,83,1,362
9.71,82,1,455
10.39,95,1,327
8.94,92,1,327
8.89,84,1,484
8.37,87,1,481
8.49,89,1,467
11.62,91,1,348
10.43,82,1,479
11.38,88,1,311
8.48,92,1,487
11.5,89,1,440
9.57,80,1,343
8.92,90,1,407
10.46,91,1,327
9.73,93,1,357
8.95,81,1,393
8.6,82,1,482
8.67,94,1,438
9.1,83,1,480
9.84,86,1,303
9.43,94,1,373
9.03,88,1,417
11.39,95,1,321
8.34,88,1,373
8.81,93,1,348
8.16,94,1,500
9.05,93,1,492
8.49,85,1,331
11.15,91,1,308
10.03,91,1,329
8.72,86,1,345
8.62,88,1,321
11.35,92,1,496
10.7,94,1,484
9.1,81,1,480
11.66,93,1,319
9.47,81,1,435
9.66,86,1,493
11.73,80,1,381
11.76,82,1,464
8.33,84,1,495
11.71,90,1,405
10.51,88,1,476
8.28,92,1,460
8.52,80,1,421
8.79,94,1,448
10.97,90,1,500
8.7,83,1,305
11.95,88,1,459
10.62,82,1,453
9.28,88,1,434
9.17,89,1,308
9.86,95,1,353
8.76,94,1,321
9.27,86,1,443
8.84,82,1,374
9.33,94,1,441
10.47,90,1,323
11.7,89,1,357
8.71,92,1,340
9.88,90,1,352
8.11,92,1,498
9.48,82,1,450
8.32,92,1,439
11.27,82,1,308
10.5,91,1,300
11.07,88,1,326
11.33,86,1,486
8.36,92,1,314
9.98,81,1,369
11.51,87,1,438
9.88,87,1,397
9.12,81,1,459
11.23,90,1,314
10.7,91,1,352
10.46,83,1,459
11.25,94,1,397
8.22,85,1,453
9.8,94,1,366
9.91,91,1,355
10.09,84,1,378
8.04,91,1,365
9.34,95,1,483
8.84,85,1,372
8.99,91,1,385
10.21,95,1,333
9.75,92,1,378
8.19,95,1,478
11.04,81,1,356
8.27,82,1,320
9.16,89,1,326
11.83,81,1,489
9.42,91,1,339
11.12,94,1,319
9.09,94,1,330
10.08,85,1,417
10.45,89,1,372
10.4,94,1,380
8.27,91,1,345
9.48,85,1,366
9.76,86,1,493
11.1,95,1,356
10.2,94,1,312
11.85,84,1,489
8.44,95,1,420
9.93,84,1,442
11.65,93,1,483
9.01,80,1,498
10.92,83,1,441
10.11,91,1,431
8.1,92,1,455
10.04,90,1,325
10.69,94,1,487
9.89,82,1,305
10.98,81,1,304
8.26,89,1,329
9.87,86,1,431
9.39,84,1,392
8.83,95,1,440
8.04,95,1,468
11.62,95,1,364
8.96,80,1,385
9.53,89,1,378
10.92,91,1,347
10.23,83,1,395
11.89,91,1,345
10.51,83,1,459
10.72,89,1,304
10.5,83,1,342
10.32,94,1,440
9.57,89,1,400
10.76,87,1,449
9.95,80,1,376
9.56,86,1,344
