temp,humidity,door,co
6.23,73,0,154
5.37,82,0,191
6.22,84,0,206
7.16,76,1,294
6.99,78,0,191
7.67,82,0,164
5.74,80,1,241
5.07,71,0,233
5.28,82,0,218
7.71,77,1,287
5.78,70,0,297
7.98,85,1,256
5.41,70,1,212
5.07,83,0,263
6.2,82,0,163
7.97,72,0,291
6.18,71,0,160
5.54,74,0,184
7.67,71,1,218
7.82,74,1,224
5.95,77,0,169
7.96,79,1,186
5.02,77,0,235
5.66,82,1,250
6.97,83,0,263
5.56,84,0,231
7.13,81,0,243
5.52,76,0,212
5.04,77,0,259
6.19,74,0,254
6.79,74,1,277
5.29,81,1,181
7.16,80,0,193
7.7,78,0,158
5.74,84,0,234
6.95,71,1,180
6.57,81,0,231
6.78,75,0,270
5.78,74,1,189
7.35,76,1,300
6.08,71,0,167
5.01,74,0,261
7.78,81,0,216
6.85,79,1,251
7.72,80,1,214
6.49,83,0,273
5.62,77,0,176
6.64,77,0,186
7.88,73,1,184
7.97,83,0,227
5.5,76,0,215
5.19,78,0,227
6.97,80,0,169
5.7,77,0,206
5.63,76,1,285
6.96,81,0,285
7.49,85,1,167
5.16,78,0,264
7.8,85,0,177
6.71,82,1,238
7.21,77,1,275
7.69,83,0,231
5.78,83,0,284
5.55,71,0,173
5.19,77,0,250
7.5,84,0,224
5.72,81,1,249
6.82,79,0,169
7.25,79,0,209
7.1,77,0,186
7.39,76,1,194
6.93,73,1,212
7.25,80,0,297
7.57,74,1,257
6.3,74,1,231
7.27,84,0,172
6.77,70,0,242
5.21,77,0,228
6.76,82,0,153
5.13,85,0,199
6.5,83,0,257
7.84,84,1,275
5.56,82,1,268
6.72,78,1,227
5.21,80,1,289
6.77,80,0,295
7.45,71,0,223
5.68,78,0,272
7.12,82,0,254
7.71,85,0,218
7.22,75,0,297
6.34,75,0,255
5.33,73,0,256
5.6,82,1,181
5.87,82,1,254
5.82,77,0,246
6.43,79,1,172
5.2,72,1,216
7.21,75,0,157
6.62,73,0,287
7.04,72,1,283
6.01,77,0,240
5.39,78,0,202
5.58,76,0,176
5.72,71,0,158
6.34,73,1,234
6.85,82,1,224
5.32,75,1,268
6.81,85,1,156
6.11,78,1,278
7.47,79,1,217
7.1,73,1,155
5.88,79,0,263
5.97,85,1,200
6.52,82,0,275
7.66,78,1,291
7.37,83,0,276
5.02,74,1,264
7.65,72,1,295
7.55,75,1,265
6.25,85,1,291
5.61,79,1,294
5.53,76,0,293
6.76,82,0,182
6.42,72,0,177
7.46,84,1,159
6.11,80,0,195
7.58,81,1,291
5.21,70,0,173
6.73,78,0,179
6.43,84,1,173
5.53,84,1,179
6.38,85,0,253
7.96,83,1,289
7.88,77,0,235
6.86,83,1,241
5.7,74,0,283
7.91,76,1,257
5.3,74,0,221
5.74,83,0,177
6.63,70,0,231
6.86,70,0,238
7.07,85,1,242
7.31,85,0,151
7.3,85,0,215
5.74,71,0,166
5.32,70,0,227
7.85,78,1,254
7.96,73,1,156
5.01,84,0,235
5.69,71,1,250
7.68,71,1,291
5.44,72,0,234
6.22,75,1,175
7.74,72,1,251
7.84,82,1,175
5.33,79,1,170
7.24,85,0,255
6.14,81,1,159
5.78,70,0,152
6.88,84,1,215
6.12,71,1,267
7.59,71,1,287
5.95,72,0,259
5.12,83,0,237
5.44,76,1,285
5.2,80,1,216
5.95,82,0,276
7.32,78,1,235
6.0,74,1,291
6.31,84,0,163
5.86,75,0,262
5.36,81,1,273
5.48,75,1,180
5.59,70,1,294
6.81,73,1,271
7.15,79,0,200
7.26,74,1,185
7.49,80,0,172
7.06,82,0,289
7.32,78,1,209
6.48,71,1,162
6.31,70,1,264
7.9,82,1,173
7.95,80,1,153
5.06,77,0,297
7.37,76,1,170
5.81,73,0,206
5.89,77,1,208
5.69,80,1,151
5.41,84,0,201
7.04,76,1,209
5.77,76,0,191
5.45,85,0,260
7.15,78,0,158
7.96,82,0,253
7.8,78,1,273
7.57,81,1,161
7.65,70,1,260
5.32,70,1,265
5.13,71,0,150
7.39,77,1,198
6.57,81,0,240
6.44,84,1,264
6.7,77,0,180
5.54,78,0,211
6.54,72,0,224
5.55,70,1,288
7.36,70,1,195
7.19,84,1,236
7.35,72,1,294
